Production_Order,Material,Plant,Quantity,Start_Date,End_Date
453,Rubber,Fabaceae,873,11/13/2018,11/13/2020
454,Wood,Monotropaceae,786,6/5/2018,2/11/2021
455,Vinyl,Polygonaceae,72,3/11/2019,12/31/2021
456,Aluminum,Rosaceae,583,1/24/2019,2/22/2022
457,Wood,Lecanoraceae,187,9/3/2018,8/3/2021
458,Vinyl,Geraniaceae,235,12/27/2018,1/25/2021
459,Brass,Alismataceae,377,12/21/2018,4/5/2022
460,Rubber,Asteraceae,863,9/10/2018,4/15/2022
461,Stone,Poaceae,461,7/15/2018,5/7/2022
462,Vinyl,Agavaceae,71,3/6/2019,11/26/2022
463,Granite,Brassicaceae,162,9/19/2018,7/28/2020
464,Brass,Brassicaceae,253,2/4/2019,7/12/2020
465,Stone,Hydrophyllaceae,694,7/16/2018,7/9/2022
466,Plastic,Physciaceae,530,10/9/2018,3/9/2023
467,Plexiglass,Asteraceae,351,6/20/2018,12/10/2021
468,Brass,Uncertain Ascomycota Family,792,7/6/2018,6/16/2020
469,Steel,Portulacaceae,148,8/11/2018,8/28/2022
470,Granite,Myrtaceae,252,10/23/2018,11/13/2020
471,Plastic,Pterigynandraceae,974,1/17/2019,6/2/2020
472,Rubber,Rhizocarpaceae,487,6/5/2018,7/5/2021
473,Plastic,Fabaceae,792,1/14/2019,11/5/2020
474,Steel,Asteraceae,172,9/7/2018,6/14/2020
475,Granite,Hypnaceae,106,1/24/2019,3/27/2022
476,Glass,Boraginaceae,472,8/30/2018,10/13/2020
477,Plexiglass,Thelotremataceae,403,9/20/2018,10/26/2021
478,Plexiglass,Myrtaceae,34,6/22/2018,9/19/2020
479,Plexiglass,Saxifragaceae,714,9/30/2018,2/25/2021
480,Granite,Polemoniaceae,709,10/8/2018,7/9/2021
481,Glass,Rosaceae,916,3/8/2019,6/18/2022
482,Plastic,Magnoliaceae,434,10/5/2018,4/18/2021
483,Plastic,Haloragaceae,993,2/23/2019,4/2/2022
484,Stone,Orthotrichaceae,490,12/24/2018,9/4/2020
485,Aluminum,Poaceae,135,10/1/2018,7/15/2020
486,Steel,Asteraceae,841,3/7/2019,3/12/2022
487,Plastic,Poaceae,510,6/17/2018,5/29/2022
488,Brass,Fabaceae,325,12/25/2018,4/6/2022
489,Steel,Ericaceae,125,1/30/2019,1/28/2023
490,Plastic,Clusiaceae,694,11/23/2018,7/11/2020
491,Glass,Euphorbiaceae,519,3/15/2019,11/1/2021
492,Vinyl,Anemiaceae,924,12/17/2018,10/8/2021
493,Vinyl,Cyperaceae,960,10/24/2018,4/24/2021
494,Brass,Euphorbiaceae,169,11/3/2018,8/22/2021
495,Plastic,Leskeaceae,509,3/16/2019,12/19/2020
496,Rubber,Scrophulariaceae,257,7/4/2018,10/18/2022
497,Vinyl,Leskeaceae,450,8/21/2018,1/31/2021
498,Plastic,Cyperaceae,894,10/2/2018,1/15/2021
499,Steel,Rubiaceae,290,3/10/2019,6/22/2020
500,Plastic,Physciaceae,741,1/17/2019,9/5/2020
501,Vinyl,Acoraceae,363,10/5/2018,7/9/2021
502,Brass,Aizoaceae,979,12/15/2018,1/5/2023
503,Plexiglass,Saxifragaceae,334,10/5/2018,3/25/2023
504,Wood,Haemodoraceae,681,6/14/2018,7/29/2022
505,Granite,Sterculiaceae,846,2/2/2019,3/31/2022
506,Rubber,Violaceae,731,8/27/2018,7/16/2020
507,Rubber,Agavaceae,912,8/26/2018,11/5/2022
508,Glass,Rubiaceae,110,2/24/2019,3/29/2022
509,Steel,Asteraceae,1000,9/3/2018,1/26/2022
510,Brass,Primulaceae,726,1/17/2019,9/10/2021
511,Plastic,Melastomataceae,636,2/6/2019,1/29/2021
512,Aluminum,Violaceae,552,12/6/2018,5/19/2022
513,Vinyl,Cactaceae,879,11/11/2018,6/2/2022
514,Plastic,Passifloraceae,340,8/24/2018,12/7/2020
515,Brass,Malvaceae,142,6/5/2018,7/6/2021
516,Granite,Portulacaceae,839,8/31/2018,3/19/2021
517,Wood,Parmeliaceae,673,1/13/2019,2/22/2023
518,Brass,Cyperaceae,615,8/5/2018,9/30/2020
519,Steel,Thymelaeaceae,414,12/25/2018,10/25/2021
520,Brass,Euphorbiaceae,354,12/6/2018,7/12/2021
521,Plastic,Asteraceae,828,7/7/2018,7/8/2022
522,Plastic,Magnoliaceae,453,3/23/2019,11/8/2022
523,Vinyl,Ranunculaceae,850,6/3/2018,8/14/2021
524,Wood,Pteridaceae,520,11/5/2018,8/13/2021
525,Rubber,Saxifragaceae,21,10/29/2018,12/8/2021
526,Aluminum,Asteraceae,941,2/24/2019,9/10/2020
527,Plexiglass,Commelinaceae,754,10/19/2018,11/14/2020
528,Wood,Asteraceae,903,2/28/2019,12/30/2022
529,Steel,Polygonaceae,845,9/3/2018,12/20/2020
530,Aluminum,Hippocastanaceae,407,7/10/2018,12/1/2021
531,Plastic,Cyperaceae,636,10/6/2018,11/12/2022
532,Plexiglass,Rubiaceae,732,8/6/2018,3/4/2022
533,Glass,Asteraceae,140,6/6/2018,2/1/2023
534,Plastic,Solanaceae,239,1/8/2019,12/9/2022
535,Plexiglass,Pteridaceae,348,6/13/2018,2/10/2023
536,Plexiglass,Salicaceae,597,10/30/2018,9/11/2021
537,Steel,Boraginaceae,527,2/11/2019,12/19/2022
538,Wood,Dryopteridaceae,157,12/8/2018,5/21/2022
539,Stone,Rosaceae,970,8/16/2018,1/31/2021
540,Wood,Lamiaceae,780,9/9/2018,9/29/2020
541,Vinyl,Fabaceae,549,11/4/2018,11/22/2020
542,Wood,Dryopteridaceae,772,10/6/2018,6/6/2020
543,Vinyl,Fabaceae,891,10/10/2018,3/12/2022
544,Stone,Verbenaceae,134,7/6/2018,6/12/2021
545,Rubber,Brassicaceae,550,10/20/2018,12/17/2020
546,Brass,Asteraceae,375,8/1/2018,6/18/2021
547,Brass,Convolvulaceae,594,6/13/2018,4/20/2021
548,Vinyl,Polygonaceae,499,2/23/2019,8/12/2022
549,Aluminum,Ranunculaceae,199,1/20/2019,11/5/2020
550,Plastic,Asteraceae,248,6/1/2018,1/16/2023
551,Granite,Polygonaceae,879,3/20/2019,2/5/2023
552,Plexiglass,Rosaceae,310,11/12/2018,11/26/2020
553,Rubber,Physciaceae,727,2/21/2019,6/2/2020
554,Wood,Marantaceae,733,3/18/2019,2/21/2022
555,Granite,Caryophyllaceae,501,2/27/2019,8/11/2021
556,Rubber,Liliaceae,678,3/21/2019,12/21/2022
557,Wood,Asteraceae,286,8/26/2018,1/3/2021
558,Brass,Scrophulariaceae,639,3/5/2019,2/9/2022
559,Stone,Cyperaceae,71,11/1/2018,9/5/2020
560,Steel,Linaceae,444,10/9/2018,6/22/2022
561,Plexiglass,Lecanoraceae,272,9/14/2018,7/29/2020
562,Vinyl,Aspleniaceae,159,2/12/2019,11/20/2020
563,Plexiglass,Ebenaceae,512,11/8/2018,4/18/2022
564,Brass,Scrophulariaceae,119,9/24/2018,6/5/2022
565,Granite,Ranunculaceae,645,2/28/2019,9/23/2022
566,Rubber,Asteraceae,277,7/20/2018,6/2/2022
567,Vinyl,Cyperaceae,124,7/25/2018,7/4/2022
568,Plastic,Polypodiaceae,751,2/2/2019,8/22/2020
569,Brass,Melastomataceae,506,8/4/2018,4/16/2022
570,Aluminum,Selaginellaceae,319,9/15/2018,8/26/2021
571,Brass,Poaceae,538,9/20/2018,11/2/2020
572,Rubber,Asteraceae,595,9/23/2018,6/9/2021
573,Vinyl,Asteraceae,505,10/6/2018,12/14/2020
574,Glass,Aquifoliaceae,319,7/11/2018,9/16/2020
575,Wood,Dicranaceae,769,11/12/2018,5/12/2022
576,Wood,Marcgraviaceae,381,9/11/2018,11/22/2022
577,Plastic,Rosaceae,767,9/13/2018,9/24/2022
578,Stone,Brassicaceae,180,1/31/2019,9/28/2020
579,Stone,Brassicaceae,852,1/10/2019,1/29/2023
580,Plastic,Fabaceae,779,11/26/2018,5/22/2021
581,Granite,Fabaceae,397,12/31/2018,1/14/2021
582,Granite,Fagaceae,404,3/15/2019,8/15/2021
583,Stone,Sapindaceae,621,8/7/2018,11/17/2021
584,Wood,Asteraceae,722,11/18/2018,2/2/2022
585,Steel,Celastraceae,995,2/23/2019,3/31/2022
586,Vinyl,Pyrolaceae,385,7/5/2018,9/2/2020
587,Plastic,Asteraceae,892,12/9/2018,11/9/2021
588,Rubber,Fabaceae,585,8/8/2018,7/24/2022
589,Aluminum,Parmeliaceae,532,8/25/2018,12/13/2020
590,Wood,Asteraceae,367,12/2/2018,1/31/2022
591,Vinyl,Rubiaceae,603,11/5/2018,11/10/2021
592,Stone,Polygonaceae,64,8/1/2018,6/27/2022
593,Plastic,Pteridaceae,241,10/15/2018,4/8/2021
594,Aluminum,Crassulaceae,234,2/12/2019,8/15/2022
595,Vinyl,Lamiaceae,267,11/28/2018,8/10/2022
596,Plastic,Scrophulariaceae,785,2/3/2019,8/13/2021
597,Aluminum,Polygonaceae,45,8/15/2018,9/19/2020
598,Wood,Apiaceae,368,11/25/2018,4/12/2022
599,Vinyl,Aizoaceae,576,12/24/2018,10/18/2022
600,Plastic,Portulacaceae,495,11/12/2018,6/27/2020
601,Glass,Lichinaceae,714,10/10/2018,7/29/2022
602,Plexiglass,Ranunculaceae,731,1/24/2019,5/24/2021
603,Glass,Asteraceae,751,8/10/2018,3/31/2021
604,Stone,Fabaceae,807,11/1/2018,9/28/2022
605,Granite,Cyperaceae,835,2/28/2019,11/19/2020
606,Steel,Sarraceniaceae,642,7/15/2018,9/26/2022
607,Plexiglass,Scrophulariaceae,680,10/1/2018,1/1/2021
608,Rubber,Brassicaceae,517,7/2/2018,5/22/2022
609,Glass,Asteraceae,585,12/22/2018,12/13/2021
610,Glass,Rubiaceae,840,10/17/2018,3/30/2021
611,Steel,Liliaceae,653,6/26/2018,3/18/2023
612,Steel,Apiaceae,440,2/28/2019,8/1/2022
613,Glass,Cyperaceae,965,10/5/2018,8/23/2022
614,Rubber,Parmeliaceae,828,6/6/2018,7/3/2021
615,Plastic,Illiciaceae,188,8/20/2018,8/13/2022
616,Vinyl,Solanaceae,120,7/7/2018,2/1/2023
617,Aluminum,Poaceae,551,2/22/2019,8/15/2022
618,Stone,Potamogetonaceae,479,6/16/2018,10/20/2020
619,Glass,Cyperaceae,835,1/18/2019,5/19/2022
620,Aluminum,Apocynaceae,645,3/5/2019,12/20/2021
621,Brass,Apiaceae,909,11/17/2018,6/14/2020
622,Rubber,Brassicaceae,99,6/29/2018,7/30/2021
623,Plexiglass,Parmeliaceae,640,2/27/2019,9/23/2021
624,Wood,Scrophulariaceae,620,8/17/2018,10/5/2022
625,Steel,Asteraceae,402,10/31/2018,8/18/2022
626,Wood,Poaceae,523,6/17/2018,9/20/2022
627,Glass,Brassicaceae,276,7/26/2018,3/24/2021
628,Plexiglass,Stereocaulaceae,481,6/14/2018,1/13/2021
629,Stone,Rubiaceae,488,6/24/2018,10/27/2021
630,Glass,Rosaceae,363,2/18/2019,12/21/2022
631,Vinyl,Poaceae,173,2/12/2019,2/17/2021
632,Stone,Pteridaceae,207,11/1/2018,5/20/2021
633,Glass,Biatorellaceae,402,8/16/2018,8/31/2022
634,Vinyl,Cyperaceae,446,9/5/2018,11/5/2020
635,Plastic,Asteraceae,194,7/1/2018,2/15/2022
636,Brass,Hydrophyllaceae,820,2/15/2019,10/23/2021
637,Stone,Polytrichaceae,174,2/12/2019,10/5/2020
638,Plexiglass,Asteraceae,287,1/19/2019,6/21/2022
639,Wood,Rosaceae,754,2/4/2019,6/3/2020
640,Plastic,Fabaceae,741,6/23/2018,12/31/2020
641,Vinyl,Hydrophyllaceae,425,3/17/2019,10/10/2021
642,Steel,Asteraceae,549,3/18/2019,4/21/2022
643,Granite,Anacardiaceae,912,8/15/2018,3/30/2021
644,Steel,Asteraceae,763,11/25/2018,3/16/2021
645,Steel,Asteraceae,73,1/24/2019,12/25/2021
646,Granite,Rosaceae,939,10/19/2018,9/23/2022
647,Stone,Cactaceae,381,9/7/2018,9/10/2020
648,Stone,Arecaceae,483,6/21/2018,11/17/2021
649,Glass,Pedaliaceae,807,9/12/2018,9/2/2020
650,Wood,Orthotrichaceae,528,11/17/2018,2/23/2023
651,Vinyl,Poaceae,548,2/12/2019,6/7/2021
652,Plastic,Lamiaceae,125,9/30/2018,1/7/2022
653,Brass,Lecanoraceae,221,8/22/2018,1/27/2021
654,Plexiglass,Pterigynandraceae,70,6/9/2018,5/18/2022
655,Aluminum,Chenopodiaceae,691,2/18/2019,12/13/2022
656,Wood,Rubiaceae,868,9/9/2018,7/21/2021
657,Steel,Rhizocarpaceae,277,12/19/2018,12/12/2022
658,Steel,Asteraceae,141,2/1/2019,6/29/2020
659,Aluminum,Chenopodiaceae,668,9/11/2018,12/30/2022
660,Granite,Asteraceae,831,7/8/2018,7/7/2021
661,Brass,Poaceae,985,3/13/2019,6/7/2021
662,Plexiglass,Araceae,780,12/14/2018,5/6/2021
663,Rubber,Polygonaceae,888,3/18/2019,3/22/2022
664,Glass,Viscaceae,971,7/6/2018,1/29/2022
665,Vinyl,Commelinaceae,581,12/2/2018,1/7/2021
666,Plastic,Poaceae,23,7/9/2018,7/1/2022
667,Rubber,Asteraceae,274,10/24/2018,11/28/2020
668,Granite,Urticaceae,320,12/31/2018,11/6/2020
669,Wood,Asteraceae,995,6/11/2018,6/20/2022
670,Steel,Rutaceae,16,7/20/2018,6/5/2022
671,Rubber,Juncaginaceae,149,2/26/2019,8/25/2022
672,Wood,Caryophyllaceae,316,2/24/2019,1/18/2023
673,Brass,Isoetaceae,727,12/18/2018,6/16/2020
674,Brass,Rosaceae,301,9/9/2018,9/29/2020
675,Stone,Brassicaceae,291,12/4/2018,11/3/2022
676,Wood,Malvaceae,293,7/19/2018,3/7/2021
677,Plastic,Polygalaceae,707,2/12/2019,1/15/2022
678,Granite,Pottiaceae,482,11/17/2018,11/23/2022
679,Brass,Asteraceae,557,3/22/2019,3/2/2023
680,Glass,Polypodiaceae,963,10/5/2018,4/10/2021
681,Stone,Crossosomataceae,989,8/5/2018,8/24/2022
682,Rubber,Brassicaceae,346,8/11/2018,6/12/2022
683,Wood,Boraginaceae,128,10/20/2018,8/14/2022
684,Plexiglass,Hydrophyllaceae,684,9/13/2018,7/12/2021
685,Steel,Asteraceae,192,1/5/2019,1/14/2021
686,Steel,Poaceae,572,9/12/2018,1/7/2023
687,Stone,Rutaceae,374,9/6/2018,12/27/2020
688,Aluminum,Asclepiadaceae,690,2/12/2019,12/17/2021
689,Granite,Ericaceae,107,12/29/2018,8/25/2020
690,Stone,Apiaceae,977,11/27/2018,11/26/2021
691,Steel,Asteraceae,112,6/17/2018,11/12/2021
692,Wood,Polygonaceae,922,1/28/2019,7/21/2022
693,Wood,Lecanoraceae,568,12/18/2018,3/14/2021
694,Plexiglass,Juncaceae,767,6/27/2018,11/1/2022
695,Wood,Lichinaceae,73,10/30/2018,4/15/2022
696,Granite,Fabaceae,706,9/12/2018,12/27/2022
697,Aluminum,Asteraceae,57,6/3/2018,3/23/2022
698,Aluminum,Asteraceae,226,3/20/2019,6/17/2020
699,Steel,Polygonaceae,441,9/23/2018,9/29/2022
700,Wood,Cyperaceae,619,3/20/2019,3/1/2022
701,Stone,Lamiaceae,548,12/15/2018,6/18/2021
702,Glass,Rhamnaceae,845,6/8/2018,8/12/2021
703,Aluminum,Asteraceae,785,2/22/2019,11/27/2022
704,Wood,Scrophulariaceae,137,3/18/2019,6/8/2020
705,Aluminum,Lichinaceae,861,11/2/2018,9/22/2021
706,Plastic,Araceae,850,6/19/2018,3/21/2021
707,Steel,Cucurbitaceae,345,9/14/2018,12/19/2021
708,Granite,Marsileaceae,636,3/18/2019,2/20/2021
709,Granite,Cyperaceae,701,12/14/2018,7/23/2022
710,Vinyl,Scrophulariaceae,735,12/9/2018,7/5/2020
711,Steel,Boraginaceae,464,1/11/2019,12/21/2020
712,Plastic,Cyperaceae,761,8/16/2018,12/29/2021
713,Vinyl,Vittariaceae,411,6/24/2018,10/4/2021
714,Rubber,Asteraceae,359,9/29/2018,10/24/2021
715,Vinyl,Hydrophyllaceae,643,6/16/2018,7/10/2021
716,Aluminum,Rutaceae,224,2/20/2019,7/18/2021
717,Wood,Loganiaceae,265,2/8/2019,1/13/2021
718,Wood,Ranunculaceae,227,6/12/2018,12/14/2021
719,Plastic,Schizaeaceae,41,9/2/2018,5/6/2022
720,Wood,Asteraceae,821,3/11/2019,7/22/2020
721,Plastic,Asteraceae,825,3/15/2019,10/23/2022
722,Wood,Viscaceae,380,6/5/2018,10/31/2022
723,Plastic,Brassicaceae,364,7/8/2018,11/30/2022
724,Plastic,Asteraceae,432,2/2/2019,2/25/2022
725,Steel,Asteraceae,95,1/30/2019,8/8/2022
726,Plexiglass,Fabaceae,212,9/18/2018,4/9/2021
727,Rubber,Lichinaceae,418,10/24/2018,9/2/2020
728,Rubber,Juncaceae,543,11/10/2018,7/19/2022
729,Plexiglass,Boraginaceae,712,7/9/2018,5/20/2022
730,Rubber,Pyrenulaceae,574,7/29/2018,10/26/2022
731,Glass,Asteraceae,515,8/30/2018,1/23/2021
732,Plastic,Verrucariaceae,384,12/15/2018,2/23/2023
733,Rubber,Sarraceniaceae,163,10/16/2018,6/10/2021
734,Vinyl,Juncaceae,434,11/14/2018,8/20/2021
735,Vinyl,Asteraceae,213,6/7/2018,4/6/2022
736,Steel,Cyperaceae,801,3/12/2019,2/23/2022
737,Plastic,Scrophulariaceae,845,1/13/2019,11/2/2021
738,Vinyl,Poaceae,725,8/19/2018,8/9/2020
739,Rubber,Verrucariaceae,546,10/5/2018,1/12/2023
740,Stone,Dryopteridaceae,954,11/22/2018,8/22/2020
741,Wood,Asteraceae,692,7/4/2018,6/5/2020
742,Vinyl,Fabaceae,434,9/21/2018,1/16/2022
743,Wood,Lamiaceae,628,10/15/2018,5/12/2021
744,Aluminum,Asteraceae,510,12/20/2018,9/17/2021
745,Vinyl,Rhamnaceae,964,2/28/2019,2/6/2023
746,Stone,Ramalinaceae,240,1/18/2019,1/12/2021
747,Granite,Poaceae,949,12/10/2018,7/6/2022
748,Plastic,Asteraceae,982,12/9/2018,1/17/2022
749,Brass,Poaceae,930,9/5/2018,1/3/2023
750,Granite,Fabaceae,776,9/28/2018,10/20/2020
751,Granite,Asteraceae,151,1/2/2019,12/31/2020
752,Rubber,Malvaceae,683,6/27/2018,7/17/2022
753,Rubber,Fabaceae,960,10/14/2018,12/6/2021
754,Plexiglass,Primulaceae,549,9/27/2018,8/24/2021
755,Vinyl,Asteraceae,790,11/30/2018,5/15/2022
756,Vinyl,Pottiaceae,688,7/30/2018,6/11/2022
757,Vinyl,Asteraceae,179,9/4/2018,10/1/2020
758,Plexiglass,Caryophyllaceae,158,9/9/2018,8/17/2022
759,Brass,Poaceae,96,12/20/2018,1/5/2023
760,Brass,Fabaceae,310,7/21/2018,9/8/2022
761,Rubber,Cyperaceae,287,6/18/2018,12/29/2021
762,Aluminum,Rosaceae,438,12/27/2018,10/10/2022
763,Granite,Solanaceae,536,1/20/2019,10/27/2022
764,Rubber,Caryophyllaceae,271,10/15/2018,6/3/2021
765,Wood,Brassicaceae,746,7/25/2018,5/10/2022
766,Glass,Physciaceae,26,1/8/2019,1/18/2022
767,Granite,Geraniaceae,808,12/31/2018,12/15/2020
768,Vinyl,Brassicaceae,696,9/29/2018,7/11/2020
769,Plastic,Fagaceae,573,8/23/2018,2/7/2022
770,Brass,Rosaceae,415,3/6/2019,9/16/2021
771,Plexiglass,Polygonaceae,60,10/30/2018,2/25/2023
772,Rubber,Bryaceae,251,9/29/2018,7/15/2020
773,Steel,Cyperaceae,607,2/14/2019,7/17/2022
774,Steel,Chenopodiaceae,218,12/11/2018,11/29/2020
775,Steel,Ranunculaceae,265,3/10/2019,11/13/2022
776,Brass,Pinaceae,760,8/5/2018,11/8/2021
777,Granite,Ericaceae,715,12/14/2018,12/28/2021
778,Wood,Onagraceae,433,2/8/2019,6/10/2020
779,Plexiglass,Grossulariaceae,694,8/17/2018,11/21/2022
780,Brass,Liliaceae,527,9/15/2018,7/23/2022
781,Plexiglass,Liliaceae,921,2/27/2019,6/29/2021
782,Aluminum,Scrophulariaceae,457,7/22/2018,6/11/2020
783,Glass,Flacourtiaceae,937,6/8/2018,2/8/2021
784,Rubber,Rosaceae,930,12/31/2018,1/31/2022
785,Aluminum,Brassicaceae,606,1/4/2019,10/18/2020
786,Vinyl,Papaveraceae,195,6/15/2018,9/25/2020
787,Stone,Blechnaceae,587,8/15/2018,1/25/2022
788,Steel,Polygonaceae,728,12/4/2018,9/28/2020
789,Granite,Verbenaceae,853,11/5/2018,3/8/2023
790,Glass,Asteraceae,307,11/14/2018,3/26/2021
791,Brass,Fabaceae,741,2/16/2019,2/20/2021
792,Aluminum,Malvaceae,21,1/31/2019,11/8/2022
793,Steel,Salicaceae,408,2/8/2019,10/23/2022
794,Vinyl,Asteraceae,473,11/9/2018,3/2/2023
795,Stone,Hydrophyllaceae,580,10/19/2018,6/7/2022
796,Stone,Moraceae,534,2/19/2019,7/25/2021
797,Plexiglass,Caryophyllaceae,67,2/23/2019,9/10/2020
798,Plastic,Rosaceae,16,10/1/2018,12/31/2020
799,Glass,Cactaceae,679,10/11/2018,6/17/2021
800,Aluminum,Asteraceae,187,2/7/2019,6/2/2022
801,Brass,Asteraceae,484,10/23/2018,11/9/2020
802,Stone,Cyperaceae,87,3/25/2019,3/7/2022
803,Stone,Caprifoliaceae,195,7/30/2018,6/3/2021
804,Vinyl,Pottiaceae,85,9/4/2018,12/12/2022
805,Rubber,Plumbaginaceae,590,7/3/2018,1/4/2023
806,Stone,Lythraceae,788,9/27/2018,11/3/2022
807,Glass,Cuscutaceae,172,3/5/2019,10/19/2020
808,Glass,Acanthaceae,834,7/15/2018,11/29/2022
809,Glass,Rosaceae,261,3/6/2019,11/21/2021
810,Vinyl,Asteraceae,730,9/20/2018,6/3/2021
811,Granite,Dryopteridaceae,218,1/5/2019,6/17/2022
812,Brass,Convolvulaceae,851,6/18/2018,6/2/2022
813,Vinyl,Fabaceae,152,6/25/2018,6/21/2020
814,Glass,Piperaceae,536,7/10/2018,4/21/2021
815,Stone,Onagraceae,396,8/18/2018,11/4/2021
816,Vinyl,Proteaceae,47,10/16/2018,1/4/2022
817,Granite,Fabaceae,709,10/5/2018,1/10/2023
818,Vinyl,Malpighiaceae,830,7/18/2018,2/25/2022
819,Wood,Asteraceae,398,6/3/2018,3/15/2022
820,Wood,Lamiaceae,419,8/14/2018,1/20/2023
821,Plexiglass,Fabaceae,295,6/1/2018,9/30/2020
822,Rubber,Apiaceae,212,12/25/2018,8/16/2020
823,Vinyl,Liliaceae,40,10/18/2018,11/2/2020
824,Plexiglass,Clusiaceae,595,9/29/2018,9/22/2022
825,Plastic,Graphidaceae,756,11/4/2018,5/28/2022
826,Plastic,Brassicaceae,206,12/1/2018,8/12/2022
827,Wood,Mycocaliciaceae,475,12/3/2018,1/8/2022
828,Rubber,Rosaceae,551,12/17/2018,12/27/2022
829,Steel,Scrophulariaceae,194,1/31/2019,11/19/2020
830,Plastic,Apiaceae,711,7/10/2018,11/6/2022
831,Glass,Fabaceae,947,9/29/2018,7/15/2021
832,Glass,Poaceae,441,10/12/2018,1/12/2021
833,Brass,Ranunculaceae,497,8/28/2018,3/10/2021
834,Plexiglass,Fabaceae,154,12/5/2018,1/24/2022
835,Rubber,Asteraceae,786,12/9/2018,8/3/2020
836,Wood,Parmeliaceae,513,3/22/2019,7/7/2020
837,Plastic,Pertusariaceae,854,11/24/2018,5/6/2022
838,Brass,Malvaceae,682,8/21/2018,2/10/2021
839,Steel,Vitaceae,765,12/12/2018,4/26/2022
840,Aluminum,Caryophyllaceae,605,10/4/2018,3/20/2023
841,Plastic,Lecanoraceae,435,12/15/2018,3/30/2022
842,Wood,Fabaceae,780,6/13/2018,5/21/2021
843,Rubber,Pteridaceae,475,12/20/2018,3/18/2021
844,Vinyl,Asteraceae,129,10/11/2018,9/18/2022
845,Granite,Polemoniaceae,667,11/2/2018,6/11/2022
846,Rubber,Nyctaginaceae,130,12/15/2018,8/10/2022
847,Wood,Scrophulariaceae,997,10/24/2018,1/7/2021
848,Granite,Primulaceae,877,9/30/2018,8/13/2022
849,Stone,Polemoniaceae,809,6/3/2018,2/5/2021
850,Plexiglass,Fabaceae,492,6/18/2018,7/16/2020
851,Wood,Flacourtiaceae,489,7/17/2018,12/15/2020
852,Wood,Hydrangeaceae,595,8/26/2018,12/17/2022
853,Plastic,Poaceae,738,9/27/2018,9/12/2022
854,Rubber,Chenopodiaceae,296,9/13/2018,2/18/2022
855,Granite,Grossulariaceae,331,11/2/2018,12/8/2022
856,Brass,Crassulaceae,296,1/28/2019,8/14/2022
857,Aluminum,Lythraceae,346,11/3/2018,2/21/2021
858,Stone,Fabaceae,721,7/13/2018,10/1/2021
859,Steel,Pteridaceae,837,11/28/2018,2/19/2022
860,Rubber,Ranunculaceae,728,11/3/2018,6/19/2022
861,Wood,Poaceae,95,12/12/2018,10/2/2021
862,Granite,Fabaceae,410,11/18/2018,11/14/2022
863,Plexiglass,Brachytheciaceae,730,1/8/2019,3/6/2022
864,Stone,Solanaceae,978,7/16/2018,1/22/2023
865,Wood,Cactaceae,867,11/8/2018,12/18/2020
866,Aluminum,Fabaceae,694,8/29/2018,10/17/2020
867,Plastic,Scrophulariaceae,336,6/15/2018,12/24/2022
868,Brass,Poaceae,312,7/9/2018,6/27/2021
869,Vinyl,Asteraceae,474,11/28/2018,3/10/2021
870,Plastic,Clethraceae,208,6/22/2018,12/11/2020
871,Vinyl,Anacardiaceae,59,9/29/2018,8/8/2021
872,Aluminum,Gesneriaceae,946,7/15/2018,9/30/2020
873,Wood,Ditrichaceae,366,6/30/2018,7/25/2021
874,Steel,Encalyptaceae,574,6/19/2018,6/26/2022
875,Brass,Brassicaceae,736,3/8/2019,1/9/2023
876,Wood,Linaceae,200,11/8/2018,10/17/2020
877,Brass,Crassulaceae,591,9/10/2018,6/29/2020
878,Brass,Malvaceae,664,6/4/2018,2/24/2022
879,Plexiglass,Asteraceae,823,3/17/2019,2/3/2021
880,Glass,Cyperaceae,800,8/30/2018,1/7/2022
881,Stone,Fabaceae,596,11/10/2018,2/1/2021
882,Glass,Orchidaceae,91,3/17/2019,3/28/2022
883,Wood,Polygonaceae,325,7/8/2018,8/27/2021
884,Plexiglass,Malpighiaceae,984,12/12/2018,4/7/2021
885,Wood,Rosaceae,181,8/8/2018,1/15/2021
886,Plexiglass,Geraniaceae,719,1/21/2019,6/17/2020
887,Granite,Salicaceae,32,2/9/2019,12/9/2022
888,Wood,Sapindaceae,555,6/17/2018,6/4/2020
889,Granite,Brassicaceae,727,2/14/2019,9/30/2022
890,Glass,Fabaceae,78,8/9/2018,10/27/2021
891,Brass,Apocynaceae,443,6/13/2018,8/1/2022
892,Stone,Malpighiaceae,820,1/1/2019,9/8/2022
893,Plastic,Rosaceae,866,3/14/2019,12/4/2021
894,Stone,Asteraceae,585,9/9/2018,5/30/2022
895,Rubber,Polygonaceae,919,3/14/2019,10/11/2020
896,Stone,Polygonaceae,625,6/26/2018,8/13/2020
897,Granite,Verbenaceae,516,11/4/2018,9/27/2022
898,Plexiglass,Magnoliaceae,83,12/16/2018,10/25/2022
899,Plexiglass,Iridaceae,619,12/26/2018,4/3/2021
900,Glass,Cuscutaceae,164,10/20/2018,9/13/2020
901,Vinyl,Alismataceae,991,10/16/2018,5/29/2021
902,Rubber,Thelenellaceae,772,2/13/2019,6/29/2020
903,Brass,Asteraceae,770,1/13/2019,4/20/2022
904,Plexiglass,Rosaceae,44,2/19/2019,3/15/2021
905,Plastic,Fabaceae,349,10/1/2018,6/6/2021
906,Glass,Fabaceae,813,11/7/2018,2/2/2021
